"WellRow"	"WellColumn"	"Gnumber"	"Gnumber_2"	"Concentration"	"Concentration_2"	"Template"
"C"	3	"vehicle"	"vehicle"	0	0	"treated.tsv"
"D"	4	"vehicle"	"vehicle"	0	0	"treated.tsv"
"E"	5	"vehicle"	"vehicle"	0	0	"treated.tsv"
"F"	6	"vehicle"	"vehicle"	0	0	"treated.tsv"
"G"	7	"vehicle"	"vehicle"	0	0	"treated.tsv"
"H"	8	"vehicle"	"vehicle"	0	0	"treated.tsv"
"I"	9	"vehicle"	"vehicle"	0	0	"treated.tsv"
"J"	10	"vehicle"	"vehicle"	0	0	"treated.tsv"
"K"	11	"vehicle"	"vehicle"	0	0	"treated.tsv"
"C"	12	"vehicle"	"vehicle"	0	0	"treated.tsv"
"D"	13	"vehicle"	"vehicle"	0	0	"treated.tsv"
"E"	14	"vehicle"	"vehicle"	0	0	"treated.tsv"
"F"	15	"vehicle"	"vehicle"	0	0	"treated.tsv"
"G"	16	"vehicle"	"vehicle"	0	0	"treated.tsv"
"H"	17	"vehicle"	"vehicle"	0	0	"treated.tsv"
"I"	18	"vehicle"	"vehicle"	0	0	"treated.tsv"
"J"	19	"vehicle"	"vehicle"	0	0	"treated.tsv"
"K"	20	"vehicle"	"vehicle"	0	0	"treated.tsv"
"C"	21	"G00002"	"vehicle"	0.001	0	"treated.tsv"
"D"	22	"G00002"	"vehicle"	0.001	0	"treated.tsv"
"E"	23	"G00002"	"vehicle"	0.001	0	"treated.tsv"
"F"	24	"G00003"	"vehicle"	0.001	0	"treated.tsv"
"G"	25	"G00003"	"vehicle"	0.001	0	"treated.tsv"
"H"	26	"G00003"	"vehicle"	0.001	0	"treated.tsv"
"I"	27	"G00004"	"vehicle"	0.001	0	"treated.tsv"
"J"	28	"G00004"	"vehicle"	0.001	0	"treated.tsv"
"K"	29	"G00004"	"vehicle"	0.001	0	"treated.tsv"
"C"	30	"G00002"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"D"	31	"G00002"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"E"	32	"G00002"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"F"	33	"G00003"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"G"	34	"G00003"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"H"	35	"G00003"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"I"	36	"G00004"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"J"	37	"G00004"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"K"	38	"G00004"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"C"	39	"G00002"	"vehicle"	0.01	0	"treated.tsv"
"D"	40	"G00002"	"vehicle"	0.01	0	"treated.tsv"
"E"	41	"G00002"	"vehicle"	0.01	0	"treated.tsv"
"F"	42	"G00003"	"vehicle"	0.01	0	"treated.tsv"
