"WellRow"	"WellColumn"	"Gnumber"	"Gnumber_2"	"Concentration"	"Concentration_2"	"Template"
"C"	3	"vehicle"	"vehicle"	0	0	"treated.tsv"
"D"	4	"vehicle"	"vehicle"	0	0	"treated.tsv"
"E"	5	"vehicle"	"vehicle"	0	0	"treated.tsv"
"F"	6	"vehicle"	"G00021"	0	1	"treated.tsv"
"G"	7	"vehicle"	"G00021"	0	0.316227766016838	"treated.tsv"
"H"	8	"vehicle"	"G00026"	0	1	"treated.tsv"
"I"	9	"vehicle"	"G00026"	0	0.316227766016838	"treated.tsv"
"J"	10	"vehicle"	"G00021"	0	0.0316227766016838	"treated.tsv"
"K"	11	"vehicle"	"G00021"	0	0.01	"treated.tsv"
"L"	12	"vehicle"	"G00026"	0	0.0316227766016838	"treated.tsv"
"C"	13	"vehicle"	"G00026"	0	0.01	"treated.tsv"
"D"	14	"vehicle"	"G00021"	0	0.001	"treated.tsv"
"E"	15	"vehicle"	"vehicle"	0	0	"treated.tsv"
"F"	16	"vehicle"	"G00026"	0	0.001	"treated.tsv"
"G"	17	"vehicle"	"G00021"	0	3.16227766016838	"treated.tsv"
"H"	18	"vehicle"	"G00026"	0	3.16227766016838	"treated.tsv"
"I"	19	"vehicle"	"G00021"	0	0.1	"treated.tsv"
"J"	20	"vehicle"	"G00026"	0	0.1	"treated.tsv"
"K"	21	"vehicle"	"G00021"	0	0.00316227766016838	"treated.tsv"
"L"	22	"vehicle"	"G00026"	0	0.00316227766016838	"treated.tsv"
"C"	23	"G00004"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"D"	24	"G00004"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"E"	25	"G00004"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"F"	26	"G00004"	"G00021"	0.00316227766016838	1	"treated.tsv"
"G"	27	"G00004"	"G00021"	0.00316227766016838	0.316227766016838	"treated.tsv"
"H"	28	"G00004"	"G00026"	0.00316227766016838	1	"treated.tsv"
"I"	29	"G00004"	"G00026"	0.00316227766016838	0.316227766016838	"treated.tsv"
"J"	30	"G00004"	"G00021"	0.00316227766016838	0.0316227766016838	"treated.tsv"
"K"	31	"G00004"	"G00021"	0.00316227766016838	0.01	"treated.tsv"
"L"	32	"G00004"	"G00026"	0.00316227766016838	0.0316227766016838	"treated.tsv"
"C"	33	"G00004"	"G00026"	0.00316227766016838	0.01	"treated.tsv"
"D"	34	"G00004"	"G00021"	0.00316227766016838	0.001	"treated.tsv"
"E"	35	"G00004"	"vehicle"	0.00316227766016838	0	"treated.tsv"
"F"	36	"G00004"	"G00026"	0.00316227766016838	0.001	"treated.tsv"
"G"	37	"G00004"	"G00021"	0.00316227766016838	3.16227766016838	"treated.tsv"
"H"	38	"G00004"	"G00026"	0.00316227766016838	3.16227766016838	"treated.tsv"
"I"	39	"G00004"	"G00021"	0.00316227766016838	0.1	"treated.tsv"
