Barcode	clid	CellLineName	Tissue	ReferenceDivisionTime	Gnumber	DrugName	drug_moa	Concentration	Gnumber_2	DrugName_2	drug_moa_2	Concentration_2	ReadoutValue	BackgroundValue	Duration
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	1	45.3280649026506	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.316227766016838	61.1665276427323	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	1	84.3921210464125	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.316227766016838	98.5067852427482	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.0316227766016838	99.6530574056693	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.01	99.9817037469059	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.0316227766016838	99.991402241568	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.01	99.9993547964844	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.001	99.9999496971326	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.001	99.9999963673741	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	3.16227766016838	44.1335197860242	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	3.16227766016838	46.3158980873148	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.1	94.0493436974407	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.1	99.8855968065889	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.00316227766016838	99.9990405080028	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.00316227766016838	99.9999515871561	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	vehicle	vehicle	vehicle	0	99.6	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	vehicle	vehicle	vehicle	0	99.6	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	vehicle	vehicle	vehicle	0	99.6	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00021	drug_021	moa_D	1	45.1467526430399	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.316227766016838	60.9218615321614	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00026	drug_026	moa_E	1	84.0545525622268	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.316227766016838	98.1127581017772	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.0316227766016838	99.2544451760467	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.01	99.5817769319183	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.0316227766016838	99.5914366326017	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.01	99.5993573772984	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.001	99.599949898344	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	vehicle	vehicle	vehicle	0	99.6	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.001	99.5999963819046	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00021	drug_021	moa_D	3.16227766016838	43.9569857068801	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00026	drug_026	moa_E	3.16227766016838	46.1306344949655	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.1	93.673146322651	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.1	99.4860544193625	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.00316227766016838	99.5990443459708	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.00316227766016838	99.5999517808075	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	1	45.3280649026506	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.316227766016838	61.1665276427323	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	1	84.3921210464125	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.316227766016838	98.5067852427482	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.0316227766016838	99.6530574056693	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.01	99.9817037469059	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.0316227766016838	99.991402241568	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.01	99.9993547964844	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.001	99.9999496971326	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.001	99.9999963673741	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	3.16227766016838	44.1335197860242	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	3.16227766016838	46.3158980873148	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.1	94.0493436974407	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.1	99.8855968065889	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.00316227766016838	99.9990405080028	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.00316227766016838	99.9999515871561	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	vehicle	vehicle	vehicle	0	99.7	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	vehicle	vehicle	vehicle	0	99.7	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	vehicle	vehicle	vehicle	0	99.7	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00021	drug_021	moa_D	1	45.1920807079426	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.316227766016838	60.9830280598041	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00026	drug_026	moa_E	1	84.1389446832733	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.316227766016838	98.2112648870199	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.0316227766016838	99.3540982334523	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.01	99.6817586356652	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.0316227766016838	99.6914280348433	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.01	99.6993567320949	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.001	99.6999498480412	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	vehicle	vehicle	vehicle	0	99.7	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.001	99.699996378272	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00021	drug_021	moa_D	3.16227766016838	44.0011192266661	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00026	drug_026	moa_E	3.16227766016838	46.1769503930528	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.1	93.7671956663484	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.1	99.5859400161691	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00021	drug_021	moa_D	0.00316227766016838	99.6990433864788	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00005	drug_005	moa_A	0.00316227766016838	G00026	drug_026	moa_E	0.00316227766016838	99.6999517323947	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	1	45.3280649026506	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.316227766016838	61.1665276427323	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	1	84.3921210464125	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.316227766016838	98.5067852427482	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.0316227766016838	99.6530574056693	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.01	99.9817037469059	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.0316227766016838	99.991402241568	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.01	99.9993547964844	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.001	99.9999496971326	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.001	99.9999963673741	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	3.16227766016838	44.1335197860242	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	3.16227766016838	46.3158980873148	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.1	94.0493436974407	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.1	99.8855968065889	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.00316227766016838	99.9990405080028	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.00316227766016838	99.9999515871561	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	1	45.3280649026506	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.316227766016838	61.1665276427323	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	1	84.3921210464125	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.316227766016838	98.5067852427482	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.0316227766016838	99.6530574056693	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.01	99.9817037469059	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.0316227766016838	99.991402241568	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.01	99.9993547964844	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.001	99.9999496971326	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.001	99.9999963673741	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	3.16227766016838	44.1335197860242	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	3.16227766016838	46.3158980873148	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.1	94.0493436974407	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.1	99.8855968065889	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.00316227766016838	99.9990405080028	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.00316227766016838	99.9999515871561	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	vehicle	vehicle	vehicle	0	26	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	vehicle	vehicle	vehicle	0	26	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	vehicle	vehicle	vehicle	0	26	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00021	drug_021	moa_D	1	11.7852968746891	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00021	drug_021	moa_D	0.316227766016838	15.9032971871104	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00026	drug_026	moa_E	1	21.9419514720672	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00026	drug_026	moa_E	0.316227766016838	25.6117641631145	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00021	drug_021	moa_D	0.0316227766016838	25.909794925474	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00021	drug_021	moa_D	0.01	25.9952429741955	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00026	drug_026	moa_E	0.0316227766016838	25.9977645828077	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00026	drug_026	moa_E	0.01	25.9998322470859	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00021	drug_021	moa_D	0.001	25.9999869212545	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	vehicle	vehicle	vehicle	0	26	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00026	drug_026	moa_E	0.001	25.9999990555173	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00021	drug_021	moa_D	3.16227766016838	11.4747151443663	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00026	drug_026	moa_E	3.16227766016838	12.0421335027018	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00021	drug_021	moa_D	0.1	24.4528293613346	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00026	drug_026	moa_E	0.1	25.9702551697131	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00021	drug_021	moa_D	0.00316227766016838	25.9997505320807	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	G00004	drug_004	moa_A	0.316227766016838	G00026	drug_026	moa_E	0.00316227766016838	25.9999874126606	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	1	45.3280649026506	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.316227766016838	61.1665276427323	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	1	84.3921210464125	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00026	drug_026	moa_E	0.316227766016838	98.5067852427482	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	G00021	drug_021	moa_D	0.0316227766016838	99.6530574056693	0	72
