"Barcode"	"Template"	"Duration"	"clid"
"plate_1"	"treated.tsv"	72	"CL00011"
"plate_1"	"treated.tsv"	72	"CL00012"
"plate_1"	"treated.tsv"	72	"CL00013"
"plate_1"	"treated.tsv"	72	"CL00014"
"plate_1"	"treated.tsv"	72	"CL00015"
"plate_1"	"treated.tsv"	72	"CL00016"
"plate_1"	"treated.tsv"	72	"CL00017"
"plate_1"	"treated.tsv"	72	"CL00018"
"plate_1"	"treated.tsv"	72	"CL00019"
"plate_1"	"treated.tsv"	72	"CL00020"
"plate_2"	"treated.tsv"	72	"CL00011"
"plate_2"	"treated.tsv"	72	"CL00012"
"plate_2"	"treated.tsv"	72	"CL00013"
"plate_2"	"treated.tsv"	72	"CL00014"
"plate_2"	"treated.tsv"	72	"CL00015"
"plate_2"	"treated.tsv"	72	"CL00016"
"plate_2"	"treated.tsv"	72	"CL00017"
"plate_2"	"treated.tsv"	72	"CL00018"
"plate_2"	"treated.tsv"	72	"CL00019"
"plate_2"	"treated.tsv"	72	"CL00020"
"plate_3"	"treated.tsv"	72	"CL00011"
"plate_3"	"treated.tsv"	72	"CL00012"
"plate_3"	"treated.tsv"	72	"CL00013"
"plate_3"	"treated.tsv"	72	"CL00014"
"plate_3"	"treated.tsv"	72	"CL00015"
"plate_3"	"treated.tsv"	72	"CL00016"
"plate_3"	"treated.tsv"	72	"CL00017"
"plate_3"	"treated.tsv"	72	"CL00018"
"plate_3"	"treated.tsv"	72	"CL00019"
"plate_3"	"treated.tsv"	72	"CL00020"
