"Barcode"	"WellRow"	"WellColumn"	"ReadoutValue"	"BackgroundValue"
"plate_1"	"C"	3	96.8	0
"plate_1"	"D"	4	102	0
"plate_1"	"E"	5	100.7	0
"plate_1"	"F"	6	96.7	0
"plate_1"	"G"	7	104.4	0
"plate_1"	"H"	8	104.4	0
"plate_1"	"I"	9	96.3	0
"plate_1"	"J"	10	103.3	0
"plate_1"	"K"	11	99.7	0
"plate_1"	"L"	12	100.5	0
"plate_1"	"M"	13	100.5	0
"plate_1"	"C"	14	97.4	0
"plate_1"	"D"	15	102.6	0
"plate_1"	"E"	16	96.8	0
"plate_1"	"F"	17	99.1	0
"plate_1"	"G"	18	103.5	0
"plate_1"	"H"	19	104.8	0
"plate_1"	"I"	20	97.3	0
"plate_1"	"J"	21	99.4	0
"plate_1"	"K"	22	95.7	0
"plate_1"	"L"	23	101.6	0
"plate_1"	"M"	24	98.9	0
"plate_1"	"C"	25	103.4	0
"plate_1"	"D"	26	96.5	0
"plate_1"	"E"	27	98.5	0
"plate_1"	"F"	28	99.9	0
"plate_1"	"G"	29	96.5	0
"plate_1"	"H"	30	98.6	0
"plate_1"	"I"	31	104.6	0
"plate_1"	"J"	32	96.3	0
"plate_1"	"K"	33	95.1	0
"plate_1"	"L"	34	96.6	0
"plate_1"	"M"	35	103.1	0
"plate_1"	"C"	36	103.7	0
"plate_1"	"D"	37	100.1	0
"plate_1"	"E"	38	101.3	0
"plate_1"	"F"	39	103.4	0
"plate_1"	"G"	40	97.8	0
"plate_1"	"H"	41	101.7	0
"plate_1"	"I"	42	96.5	0
"plate_1"	"J"	43	104.8	0
"plate_1"	"K"	44	98	0
"plate_1"	"L"	45	96.2	0
"plate_1"	"M"	46	96.6	0
"plate_1"	"C"	47	104.4	0
"plate_1"	"D"	48	102.9	0
"plate_1"	"E"	49	104.7	0
"plate_1"	"F"	50	98.5	0
"plate_1"	"G"	51	100	0
"plate_1"	"H"	52	103.1	0
"plate_1"	"I"	53	95.1	0
"plate_1"	"J"	54	95.1	0
"plate_1"	"K"	55	101.8	0
"plate_1"	"L"	56	104.3	0
"plate_1"	"M"	57	97.8	0
"plate_1"	"C"	58	103.1	0
"plate_1"	"D"	59	102.9	0
"plate_1"	"E"	60	104.9	0
"plate_1"	"F"	61	101.1	0
"plate_1"	"G"	62	102.1	0
"plate_1"	"H"	63	102.7	0
"plate_1"	"I"	64	103.9	0
"plate_1"	"J"	65	101.3	0
"plate_1"	"K"	66	97.6	0
"plate_1"	"L"	67	103.6	0
"plate_1"	"M"	68	99.4	0
"plate_1"	"C"	69	98.9	0
"plate_1"	"D"	70	99.6	0
"plate_1"	"E"	71	97.2	0
"plate_1"	"F"	72	95.7	0
"plate_1"	"G"	73	97.8	0
"plate_1"	"H"	74	98.1	0
"plate_1"	"I"	75	95.4	0
"plate_1"	"J"	76	96.8	0
"plate_1"	"K"	77	96.8	0
