"WellRow"	"WellColumn"	"Gnumber"	"Concentration"	"Template"
"C"	3	"vehicle"	0	"treated.tsv"
"D"	4	"vehicle"	0	"treated.tsv"
"E"	5	"vehicle"	0	"treated.tsv"
"F"	6	"vehicle"	0	"treated.tsv"
"G"	7	"vehicle"	0	"treated.tsv"
"H"	8	"vehicle"	0	"treated.tsv"
"I"	9	"vehicle"	0	"treated.tsv"
"J"	10	"vehicle"	0	"treated.tsv"
"K"	11	"vehicle"	0	"treated.tsv"
"L"	12	"vehicle"	0	"treated.tsv"
"M"	13	"vehicle"	0	"treated.tsv"
"C"	14	"vehicle"	0	"treated.tsv"
"D"	15	"vehicle"	0	"treated.tsv"
"E"	16	"vehicle"	0	"treated.tsv"
"F"	17	"vehicle"	0	"treated.tsv"
"G"	18	"vehicle"	0	"treated.tsv"
"H"	19	"vehicle"	0	"treated.tsv"
"I"	20	"vehicle"	0	"treated.tsv"
"J"	21	"vehicle"	0	"treated.tsv"
"K"	22	"vehicle"	0	"treated.tsv"
"L"	23	"vehicle"	0	"treated.tsv"
"M"	24	"vehicle"	0	"treated.tsv"
"C"	25	"vehicle"	0	"treated.tsv"
"D"	26	"vehicle"	0	"treated.tsv"
"E"	27	"vehicle"	0	"treated.tsv"
"F"	28	"vehicle"	0	"treated.tsv"
"G"	29	"vehicle"	0	"treated.tsv"
"H"	30	"vehicle"	0	"treated.tsv"
"I"	31	"vehicle"	0	"treated.tsv"
"J"	32	"vehicle"	0	"treated.tsv"
"K"	33	"vehicle"	0	"treated.tsv"
"L"	34	"vehicle"	0	"treated.tsv"
"M"	35	"vehicle"	0	"treated.tsv"
"C"	36	"vehicle"	0	"treated.tsv"
"D"	37	"vehicle"	0	"treated.tsv"
"E"	38	"vehicle"	0	"treated.tsv"
"F"	39	"vehicle"	0	"treated.tsv"
"G"	40	"vehicle"	0	"treated.tsv"
"H"	41	"vehicle"	0	"treated.tsv"
"I"	42	"vehicle"	0	"treated.tsv"
"J"	43	"vehicle"	0	"treated.tsv"
"K"	44	"vehicle"	0	"treated.tsv"
"L"	45	"vehicle"	0	"treated.tsv"
"M"	46	"vehicle"	0	"treated.tsv"
"C"	47	"vehicle"	0	"treated.tsv"
"D"	48	"vehicle"	0	"treated.tsv"
"E"	49	"vehicle"	0	"treated.tsv"
"F"	50	"vehicle"	0	"treated.tsv"
"G"	51	"vehicle"	0	"treated.tsv"
"H"	52	"vehicle"	0	"treated.tsv"
"I"	53	"vehicle"	0	"treated.tsv"
"J"	54	"vehicle"	0	"treated.tsv"
"K"	55	"vehicle"	0	"treated.tsv"
"L"	56	"vehicle"	0	"treated.tsv"
"M"	57	"vehicle"	0	"treated.tsv"
"C"	58	"vehicle"	0	"treated.tsv"
"D"	59	"vehicle"	0	"treated.tsv"
"E"	60	"vehicle"	0	"treated.tsv"
"F"	61	"vehicle"	0	"treated.tsv"
"G"	62	"vehicle"	0	"treated.tsv"
"H"	63	"vehicle"	0	"treated.tsv"
"I"	64	"vehicle"	0	"treated.tsv"
"J"	65	"vehicle"	0	"treated.tsv"
"K"	66	"vehicle"	0	"treated.tsv"
"L"	67	"vehicle"	0	"treated.tsv"
"M"	68	"vehicle"	0	"treated.tsv"
"C"	69	"vehicle"	0	"treated.tsv"
"D"	70	"vehicle"	0	"treated.tsv"
"E"	71	"vehicle"	0	"treated.tsv"
"F"	72	"vehicle"	0	"treated.tsv"
"G"	73	"vehicle"	0	"treated.tsv"
"H"	74	"vehicle"	0	"treated.tsv"
"I"	75	"vehicle"	0	"treated.tsv"
"J"	76	"vehicle"	0	"treated.tsv"
"K"	77	"vehicle"	0	"treated.tsv"
"L"	78	"vehicle"	0	"treated.tsv"
"M"	79	"vehicle"	0	"treated.tsv"
"C"	80	"vehicle"	0	"treated.tsv"
"D"	81	"vehicle"	0	"treated.tsv"
"E"	82	"vehicle"	0	"treated.tsv"
"F"	83	"vehicle"	0	"treated.tsv"
"G"	84	"vehicle"	0	"treated.tsv"
"H"	85	"vehicle"	0	"treated.tsv"
"I"	86	"vehicle"	0	"treated.tsv"
"J"	87	"vehicle"	0	"treated.tsv"
"K"	88	"vehicle"	0	"treated.tsv"
"L"	89	"vehicle"	0	"treated.tsv"
"M"	90	"vehicle"	0	"treated.tsv"
"C"	91	"vehicle"	0	"treated.tsv"
"D"	92	"vehicle"	0	"treated.tsv"
"E"	93	"vehicle"	0	"treated.tsv"
"F"	94	"vehicle"	0	"treated.tsv"
"G"	95	"vehicle"	0	"treated.tsv"
"H"	96	"vehicle"	0	"treated.tsv"
"I"	97	"vehicle"	0	"treated.tsv"
"J"	98	"vehicle"	0	"treated.tsv"
"K"	99	"vehicle"	0	"treated.tsv"
"L"	100	"vehicle"	0	"treated.tsv"
"M"	101	"vehicle"	0	"treated.tsv"
"C"	102	"vehicle"	0	"treated.tsv"
"D"	3	"vehicle"	0	"treated.tsv"
"E"	4	"vehicle"	0	"treated.tsv"
"F"	5	"vehicle"	0	"treated.tsv"
"G"	6	"vehicle"	0	"treated.tsv"
"H"	7	"vehicle"	0	"treated.tsv"
"I"	8	"vehicle"	0	"treated.tsv"
"J"	9	"vehicle"	0	"treated.tsv"
"K"	10	"vehicle"	0	"treated.tsv"
"L"	11	"vehicle"	0	"treated.tsv"
"M"	12	"vehicle"	0	"treated.tsv"
"C"	13	"vehicle"	0	"treated.tsv"
"D"	14	"vehicle"	0	"treated.tsv"
"E"	15	"vehicle"	0	"treated.tsv"
"F"	16	"vehicle"	0	"treated.tsv"
"G"	17	"vehicle"	0	"treated.tsv"
"H"	18	"vehicle"	0	"treated.tsv"
"I"	19	"vehicle"	0	"treated.tsv"
"J"	20	"vehicle"	0	"treated.tsv"
"K"	21	"vehicle"	0	"treated.tsv"
"L"	22	"vehicle"	0	"treated.tsv"
"M"	23	"vehicle"	0	"treated.tsv"
"C"	24	"vehicle"	0	"treated.tsv"
"D"	25	"vehicle"	0	"treated.tsv"
"E"	26	"vehicle"	0	"treated.tsv"
"F"	27	"vehicle"	0	"treated.tsv"
"G"	28	"vehicle"	0	"treated.tsv"
"H"	29	"vehicle"	0	"treated.tsv"
"I"	30	"vehicle"	0	"treated.tsv"
"J"	31	"vehicle"	0	"treated.tsv"
"K"	32	"vehicle"	0	"treated.tsv"
"L"	33	"vehicle"	0	"treated.tsv"
"M"	34	"vehicle"	0	"treated.tsv"
"C"	35	"vehicle"	0	"treated.tsv"
"D"	36	"vehicle"	0	"treated.tsv"
"E"	37	"vehicle"	0	"treated.tsv"
"F"	38	"vehicle"	0	"treated.tsv"
"G"	39	"vehicle"	0	"treated.tsv"
"H"	40	"vehicle"	0	"treated.tsv"
"I"	41	"vehicle"	0	"treated.tsv"
"J"	42	"vehicle"	0	"treated.tsv"
"K"	43	"vehicle"	0	"treated.tsv"
"L"	44	"vehicle"	0	"treated.tsv"
"M"	45	"vehicle"	0	"treated.tsv"
"C"	46	"vehicle"	0	"treated.tsv"
"D"	47	"vehicle"	0	"treated.tsv"
"E"	48	"vehicle"	0	"treated.tsv"
"F"	49	"vehicle"	0	"treated.tsv"
"G"	50	"vehicle"	0	"treated.tsv"
"H"	51	"vehicle"	0	"treated.tsv"
"I"	52	"vehicle"	0	"treated.tsv"
"J"	53	"vehicle"	0	"treated.tsv"
"K"	54	"vehicle"	0	"treated.tsv"
"L"	55	"vehicle"	0	"treated.tsv"
"M"	56	"vehicle"	0	"treated.tsv"
"C"	57	"vehicle"	0	"treated.tsv"
"D"	58	"vehicle"	0	"treated.tsv"
"E"	59	"vehicle"	0	"treated.tsv"
"F"	60	"vehicle"	0	"treated.tsv"
"G"	61	"vehicle"	0	"treated.tsv"
"H"	62	"vehicle"	0	"treated.tsv"
"I"	63	"vehicle"	0	"treated.tsv"
"J"	64	"vehicle"	0	"treated.tsv"
"K"	65	"vehicle"	0	"treated.tsv"
"L"	66	"vehicle"	0	"treated.tsv"
"M"	67	"vehicle"	0	"treated.tsv"
"C"	68	"vehicle"	0	"treated.tsv"
"D"	69	"vehicle"	0	"treated.tsv"
"E"	70	"vehicle"	0	"treated.tsv"
"F"	71	"vehicle"	0	"treated.tsv"
"G"	72	"vehicle"	0	"treated.tsv"
"H"	73	"vehicle"	0	"treated.tsv"
"I"	74	"vehicle"	0	"treated.tsv"
"J"	75	"vehicle"	0	"treated.tsv"
"K"	76	"vehicle"	0	"treated.tsv"
"L"	77	"vehicle"	0	"treated.tsv"
"M"	78	"vehicle"	0	"treated.tsv"
"C"	79	"vehicle"	0	"treated.tsv"
"D"	80	"vehicle"	0	"treated.tsv"
"E"	81	"vehicle"	0	"treated.tsv"
"F"	82	"vehicle"	0	"treated.tsv"
"G"	83	"vehicle"	0	"treated.tsv"
"H"	84	"vehicle"	0	"treated.tsv"
"I"	85	"vehicle"	0	"treated.tsv"
"J"	86	"vehicle"	0	"treated.tsv"
"K"	87	"vehicle"	0	"treated.tsv"
"L"	88	"vehicle"	0	"treated.tsv"
"M"	89	"vehicle"	0	"treated.tsv"
"C"	90	"vehicle"	0	"treated.tsv"
"D"	91	"vehicle"	0	"treated.tsv"
"E"	92	"vehicle"	0	"treated.tsv"
"F"	93	"vehicle"	0	"treated.tsv"
"G"	94	"vehicle"	0	"treated.tsv"
"H"	95	"vehicle"	0	"treated.tsv"
"I"	96	"vehicle"	0	"treated.tsv"
"J"	97	"vehicle"	0	"treated.tsv"
"K"	98	"vehicle"	0	"treated.tsv"
"L"	99	"vehicle"	0	"treated.tsv"
"M"	100	"vehicle"	0	"treated.tsv"
"C"	101	"vehicle"	0	"treated.tsv"
"D"	102	"vehicle"	0	"treated.tsv"
"E"	3	"G00002"	0.001	"treated.tsv"
"F"	4	"G00002"	0.001	"treated.tsv"
"G"	5	"G00002"	0.001	"treated.tsv"
"H"	6	"G00002"	0.001	"treated.tsv"
"I"	7	"G00002"	0.001	"treated.tsv"
"J"	8	"G00002"	0.001	"treated.tsv"
"K"	9	"G00002"	0.001	"treated.tsv"
"L"	10	"G00002"	0.001	"treated.tsv"
"M"	11	"G00002"	0.001	"treated.tsv"
"C"	12	"G00002"	0.001	"treated.tsv"
"D"	13	"G00003"	0.001	"treated.tsv"
