"Barcode"	"WellRow"	"WellColumn"	"ReadoutValue"	"BackgroundValue"
"plate_1"	"C"	3	100	0
"plate_1"	"D"	4	100	0
"plate_1"	"E"	5	100	0
"plate_1"	"F"	6	100	0
"plate_1"	"G"	7	100	0
"plate_1"	"H"	3	100	0
"plate_1"	"I"	4	100	0
"plate_1"	"J"	5	100	0
"plate_1"	"K"	6	100	0
"plate_1"	"L"	7	100	0
"plate_1"	"M"	3	100	0
"plate_1"	"N"	4	100	0
"plate_1"	"O"	5	100	0
"plate_1"	"P"	6	100	0
"plate_1"	"Q"	7	100	0
"plate_1"	"R"	3	100	0
"plate_1"	"S"	4	100	0
"plate_1"	"T"	5	100	0
"plate_1"	"U"	6	100	0
"plate_1"	"V"	7	100	0
"plate_2"	"C"	3	100	0
"plate_2"	"D"	4	100	0
"plate_2"	"E"	5	100	0
"plate_2"	"F"	6	100	0
"plate_2"	"G"	7	100	0
"plate_2"	"H"	3	100	0
"plate_2"	"I"	4	100	0
"plate_2"	"J"	5	100	0
"plate_2"	"K"	6	100	0
"plate_2"	"L"	7	100	0
"plate_2"	"M"	3	100	0
"plate_2"	"N"	4	100	0
"plate_2"	"O"	5	100	0
"plate_2"	"P"	6	100	0
"plate_2"	"Q"	7	100	0
"plate_2"	"R"	3	100	0
"plate_2"	"S"	4	100	0
"plate_2"	"T"	5	100	0
"plate_2"	"U"	6	100	0
"plate_2"	"V"	7	100	0
"plate_3"	"C"	3	100	0
"plate_3"	"D"	4	100	0
"plate_3"	"E"	5	100	0
"plate_3"	"F"	6	100	0
"plate_3"	"G"	7	100	0
"plate_3"	"H"	3	100	0
"plate_3"	"I"	4	100	0
"plate_3"	"J"	5	100	0
"plate_3"	"K"	6	100	0
"plate_3"	"L"	7	100	0
"plate_3"	"M"	3	100	0
"plate_3"	"N"	4	100	0
"plate_3"	"O"	5	100	0
"plate_3"	"P"	6	100	0
"plate_3"	"Q"	7	100	0
"plate_3"	"R"	3	100	0
"plate_3"	"S"	4	100	0
"plate_3"	"T"	5	100	0
"plate_3"	"U"	6	100	0
"plate_3"	"V"	7	100	0
"plate_1"	"W"	3	100	0
"plate_1"	"X"	4	100	0
"plate_1"	"Y"	5	100	0
"plate_1"	"Z"	6	100	0
"plate_1"	NA	7	100	0
"plate_1"	NA	3	100	0
"plate_1"	NA	4	100	0
"plate_1"	NA	5	100	0
"plate_1"	NA	6	100	0
"plate_1"	NA	7	100	0
"plate_1"	NA	3	100	0
"plate_1"	NA	4	100	0
"plate_1"	NA	5	100	0
"plate_1"	NA	6	100	0
"plate_1"	NA	7	100	0
"plate_1"	NA	3	100	0
"plate_1"	NA	4	100	0
"plate_1"	NA	5	100	0
"plate_1"	NA	6	100	0
"plate_1"	NA	7	100	0
"plate_2"	"W"	3	100	0
"plate_2"	"X"	4	100	0
"plate_2"	"Y"	5	100	0
"plate_2"	"Z"	6	100	0
"plate_2"	NA	7	100	0
"plate_2"	NA	3	100	0
"plate_2"	NA	4	100	0
"plate_2"	NA	5	100	0
"plate_2"	NA	6	100	0
"plate_2"	NA	7	100	0
"plate_2"	NA	3	100	0
"plate_2"	NA	4	100	0
"plate_2"	NA	5	100	0
"plate_2"	NA	6	100	0
"plate_2"	NA	7	100	0
"plate_2"	NA	3	100	0
"plate_2"	NA	4	100	0
"plate_2"	NA	5	100	0
"plate_2"	NA	6	100	0
"plate_2"	NA	7	100	0
"plate_3"	"W"	3	100	0
"plate_3"	"X"	4	100	0
"plate_3"	"Y"	5	100	0
"plate_3"	"Z"	6	100	0
"plate_3"	NA	7	100	0
"plate_3"	NA	3	100	0
"plate_3"	NA	4	100	0
"plate_3"	NA	5	100	0
"plate_3"	NA	6	100	0
"plate_3"	NA	7	100	0
"plate_3"	NA	3	100	0
"plate_3"	NA	4	100	0
"plate_3"	NA	5	100	0
"plate_3"	NA	6	100	0
"plate_3"	NA	7	100	0
"plate_3"	NA	3	100	0
"plate_3"	NA	4	100	0
"plate_3"	NA	5	100	0
"plate_3"	NA	6	100	0
"plate_3"	NA	7	100	0
"plate_1"	NA	3	97.7	0
"plate_1"	NA	4	100	0
"plate_1"	NA	5	100	0
"plate_1"	NA	6	100	0
"plate_1"	"C"	7	97.1	0
"plate_1"	"D"	3	99.7	0
"plate_1"	"E"	4	100	0
"plate_1"	"F"	5	100	0
"plate_1"	"G"	6	100	0
"plate_1"	"H"	7	98.5	0
"plate_1"	"I"	3	100	0
"plate_1"	"J"	4	100	0
"plate_1"	"K"	5	99.3	0
"plate_1"	"L"	6	100	0
"plate_1"	"M"	7	99.3	0
"plate_1"	"N"	3	100	0
"plate_1"	"O"	4	100	0
"plate_1"	"P"	5	99.7	0
"plate_1"	"Q"	6	99.1	0
"plate_1"	"R"	7	92.2	0
"plate_2"	NA	3	97.7	0
"plate_2"	NA	4	100	0
"plate_2"	NA	5	100	0
"plate_2"	NA	6	100	0
"plate_2"	"C"	7	97.1	0
"plate_2"	"D"	3	99.7	0
"plate_2"	"E"	4	100	0
"plate_2"	"F"	5	100	0
"plate_2"	"G"	6	100	0
"plate_2"	"H"	7	98.5	0
"plate_2"	"I"	3	100	0
"plate_2"	"J"	4	100	0
"plate_2"	"K"	5	99.3	0
"plate_2"	"L"	6	100	0
"plate_2"	"M"	7	99.3	0
"plate_2"	"N"	3	100	0
"plate_2"	"O"	4	100	0
"plate_2"	"P"	5	99.7	0
"plate_2"	"Q"	6	99.1	0
"plate_2"	"R"	7	92.2	0
"plate_3"	NA	3	97.7	0
"plate_3"	NA	4	100	0
"plate_3"	NA	5	100	0
"plate_3"	NA	6	100	0
"plate_3"	"C"	7	97.1	0
"plate_3"	"D"	3	99.7	0
"plate_3"	"E"	4	100	0
"plate_3"	"F"	5	100	0
"plate_3"	"G"	6	100	0
"plate_3"	"H"	7	98.5	0
"plate_3"	"I"	3	100	0
"plate_3"	"J"	4	100	0
"plate_3"	"K"	5	99.3	0
"plate_3"	"L"	6	100	0
"plate_3"	"M"	7	99.3	0
"plate_3"	"N"	3	100	0
"plate_3"	"O"	4	100	0
"plate_3"	"P"	5	99.7	0
"plate_3"	"Q"	6	99.1	0
"plate_3"	"R"	7	92.2	0
"plate_1"	"S"	3	84.2	0
"plate_1"	"T"	4	99.7	0
"plate_1"	"U"	5	100	0
"plate_1"	"V"	6	100	0
"plate_1"	"W"	7	78.6	0
"plate_1"	"X"	3	96.1	0
"plate_1"	"Y"	4	100	0
"plate_1"	"Z"	5	100	0
"plate_1"	NA	6	99.6	0
"plate_1"	NA	7	88	0
"plate_1"	NA	3	99.4	0
"plate_1"	NA	4	99.8	0
"plate_1"	NA	5	93.6	0
"plate_1"	NA	6	99.7	0
"plate_1"	NA	7	91.9	0
"plate_1"	NA	3	99.9	0
"plate_1"	NA	4	99.9	0
"plate_1"	NA	5	96.3	0
"plate_1"	NA	6	93.2	0
"plate_1"	NA	7	65.7	0
"plate_2"	"S"	3	84.2	0
"plate_2"	"T"	4	99.7	0
"plate_2"	"U"	5	100	0
"plate_2"	"V"	6	100	0
"plate_2"	"W"	7	78.6	0
"plate_2"	"X"	3	96.1	0
"plate_2"	"Y"	4	100	0
"plate_2"	"Z"	5	100	0
"plate_2"	NA	6	99.6	0
"plate_2"	NA	7	88	0
"plate_2"	NA	3	99.4	0
"plate_2"	NA	4	99.8	0
"plate_2"	NA	5	93.6	0
"plate_2"	NA	6	99.7	0
"plate_2"	NA	7	91.9	0
"plate_2"	NA	3	99.9	0
"plate_2"	NA	4	99.9	0
"plate_2"	NA	5	96.3	0
"plate_2"	NA	6	93.2	0
"plate_2"	NA	7	65.7	0
"plate_3"	"S"	3	84.2	0
"plate_3"	"T"	4	99.7	0
"plate_3"	"U"	5	100	0
"plate_3"	"V"	6	100	0
"plate_3"	"W"	7	78.6	0
"plate_3"	"X"	3	96.1	0
"plate_3"	"Y"	4	100	0
"plate_3"	"Z"	5	100	0
"plate_3"	NA	6	99.6	0
"plate_3"	NA	7	88	0
"plate_3"	NA	3	99.4	0
"plate_3"	NA	4	99.8	0
"plate_3"	NA	5	93.6	0
"plate_3"	NA	6	99.7	0
"plate_3"	NA	7	91.9	0
"plate_3"	NA	3	99.9	0
"plate_3"	NA	4	99.9	0
"plate_3"	NA	5	96.3	0
"plate_3"	NA	6	93.2	0
"plate_3"	NA	7	65.7	0
"plate_1"	NA	3	67.3	0
"plate_1"	NA	4	95.5	0
"plate_1"	NA	5	99.5	0
"plate_1"	NA	6	99.9	0
"plate_1"	NA	7	54.6	0
"plate_1"	NA	3	81.4	0
"plate_1"	NA	4	99.5	0
"plate_1"	NA	5	99.6	0
"plate_1"	"C"	6	95.2	0
"plate_1"	"D"	7	74.4	0
"plate_1"	"E"	3	91.5	0
"plate_1"	"F"	4	96.3	0
"plate_1"	"G"	5	73.2	0
"plate_1"	"H"	6	96.2	0
"plate_1"	"I"	7	66.7	0
"plate_1"	"J"	3	97.9	0
"plate_1"	"K"	4	98.5	0
"plate_1"	"L"	5	76.6	0
"plate_1"	"M"	6	78.9	0
"plate_1"	"N"	7	47.6	0
"plate_2"	NA	3	67.3	0
"plate_2"	NA	4	95.5	0
"plate_2"	NA	5	99.5	0
"plate_2"	NA	6	99.9	0
"plate_2"	NA	7	54.6	0
"plate_2"	NA	3	81.4	0
"plate_2"	NA	4	99.5	0
"plate_2"	NA	5	99.6	0
"plate_2"	"C"	6	95.2	0
"plate_2"	"D"	7	74.4	0
"plate_2"	"E"	3	91.5	0
"plate_2"	"F"	4	96.3	0
"plate_2"	"G"	5	73.2	0
"plate_2"	"H"	6	96.2	0
"plate_2"	"I"	7	66.7	0
"plate_2"	"J"	3	97.9	0
"plate_2"	"K"	4	98.5	0
"plate_2"	"L"	5	76.6	0
"plate_2"	"M"	6	78.9	0
"plate_2"	"N"	7	47.6	0
"plate_3"	NA	3	67.3	0
"plate_3"	NA	4	95.5	0
"plate_3"	NA	5	99.5	0
"plate_3"	NA	6	99.9	0
"plate_3"	NA	7	54.6	0
"plate_3"	NA	3	81.4	0
"plate_3"	NA	4	99.5	0
"plate_3"	NA	5	99.6	0
"plate_3"	"C"	6	95.2	0
"plate_3"	"D"	7	74.4	0
