"Barcode"	"Template"	"Duration"	"clid"
"plate_1"	"treated.tsv"	72	"CL00011"
"plate_1"	"treated.tsv"	72	"CL00012"
"plate_1"	"treated.tsv"	72	"CL00013"
"plate_1"	"treated.tsv"	72	"CL00014"
"plate_1"	"treated.tsv"	72	"CL00015"
"plate_2"	"treated.tsv"	72	"CL00011"
"plate_2"	"treated.tsv"	72	"CL00012"
"plate_2"	"treated.tsv"	72	"CL00013"
"plate_2"	"treated.tsv"	72	"CL00014"
"plate_2"	"treated.tsv"	72	"CL00015"
"plate_3"	"treated.tsv"	72	"CL00011"
"plate_3"	"treated.tsv"	72	"CL00012"
"plate_3"	"treated.tsv"	72	"CL00013"
"plate_3"	"treated.tsv"	72	"CL00014"
"plate_3"	"treated.tsv"	72	"CL00015"
"plate_11"	"treated.tsv"	72	"CL00011"
"plate_11"	"treated.tsv"	72	"CL00012"
"plate_11"	"treated.tsv"	72	"CL00013"
"plate_11"	"treated.tsv"	72	"CL00014"
"plate_11"	"treated.tsv"	72	"CL00015"
"plate_21"	"treated.tsv"	72	"CL00011"
"plate_21"	"treated.tsv"	72	"CL00012"
"plate_21"	"treated.tsv"	72	"CL00013"
"plate_21"	"treated.tsv"	72	"CL00014"
"plate_21"	"treated.tsv"	72	"CL00015"
"plate_31"	"treated.tsv"	72	"CL00011"
"plate_31"	"treated.tsv"	72	"CL00012"
"plate_31"	"treated.tsv"	72	"CL00013"
"plate_31"	"treated.tsv"	72	"CL00014"
"plate_31"	"treated.tsv"	72	"CL00015"
