Barcode	clid	CellLineName	Tissue	ReferenceDivisionTime	Gnumber	DrugName	gcsi_moa	Concentration	ReadoutValue	BackgroundValue	Duration
plate_1	CL00010	cellline_AA	tissue_x	22	vehicle	vehicle	vehicle	0	96.8	0	72
plate_1	CL00011	cellline_BA	tissue_x	26	vehicle	vehicle	vehicle	0	102	0	72
plate_1	CL00012	cellline_CA	tissue_x	30	vehicle	vehicle	vehicle	0	100.7	0	72
plate_1	CL00013	cellline_DA	tissue_x	34	vehicle	vehicle	vehicle	0	96.7	0	72
plate_1	CL00014	cellline_EA	tissue_x	38	vehicle	vehicle	vehicle	0	104.4	0	72
plate_1	CL00015	cellline_FA	tissue_x	42	vehicle	vehicle	vehicle	0	104.4	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	96.3	0	72
plate_1	CL00017	cellline_HB	tissue_y	50	vehicle	vehicle	vehicle	0	103.3	0	72
plate_1	CL00018	cellline_IB	tissue_y	54	vehicle	vehicle	vehicle	0	99.7	0	72
plate_1	CL00019	cellline_JB	tissue_z	58	vehicle	vehicle	vehicle	0	100.5	0	72
plate_1	CL00020	cellline_KB	tissue_z	62	vehicle	vehicle	vehicle	0	100.5	0	72
plate_1	CL00021	cellline_LB	tissue_z	66	vehicle	vehicle	vehicle	0	97.4	0	72
plate_1	CL00022	cellline_MC	tissue_z	70	vehicle	vehicle	vehicle	0	102.6	0	72
plate_1	CL00023	cellline_NC	tissue_z	74	vehicle	vehicle	vehicle	0	96.8	0	72
plate_1	CL00024	cellline_OC	tissue_z	78	vehicle	vehicle	vehicle	0	99.1	0	72
plate_1	CL00010	cellline_AA	tissue_x	22	vehicle	vehicle	vehicle	0	103.5	0	72
plate_1	CL00011	cellline_BA	tissue_x	26	vehicle	vehicle	vehicle	0	104.8	0	72
plate_1	CL00012	cellline_CA	tissue_x	30	vehicle	vehicle	vehicle	0	97.3	0	72
plate_1	CL00013	cellline_DA	tissue_x	34	vehicle	vehicle	vehicle	0	99.4	0	72
plate_1	CL00014	cellline_EA	tissue_x	38	vehicle	vehicle	vehicle	0	95.7	0	72
plate_1	CL00015	cellline_FA	tissue_x	42	vehicle	vehicle	vehicle	0	101.6	0	72
plate_1	CL00016	cellline_GB	tissue_y	46	vehicle	vehicle	vehicle	0	98.9	0	72
plate_1	CL00017	cellline_HB	tissue_y	50	vehicle	vehicle	vehicle	0	103.4	0	72
plate_1	CL00018	cellline_IB	tissue_y	54	vehicle	vehicle	vehicle	0	96.5	0	72
plate_1	CL00019	cellline_JB	tissue_z	58	vehicle	vehicle	vehicle	0	98.5	0	72
plate_1	CL00020	cellline_KB	tissue_z	62	vehicle	vehicle	vehicle	0	99.9	0	72
plate_1	CL00021	cellline_LB	tissue_z	66	vehicle	vehicle	vehicle	0	96.5	0	72
plate_1	CL00022	cellline_MC	tissue_z	70	vehicle	vehicle	vehicle	0	98.6	0	72
plate_1	CL00023	cellline_NC	tissue_z	74	vehicle	vehicle	vehicle	0	104.6	0	72
