Concentration	GRvalue	RelativeViability	CorrectedReadout	std_GRvalue	std_RelativeViability	Gnumber	DrugName	Duration	gcsi_moa	clid	CellLineName	Tissue	ReferenceDivisionTime
0.001	0.996766666666667	0.995633333333333	99.9	0.0146551469911883	0.0202843124934845	G00011	drug_011	72	moa_B	CL00011	cellline_BA	tissue_x	26
0.00316227766016838	0.984833333333333	0.9796	98.2666666666667	0.0330666498655872	0.0448939862342386	G00011	drug_011	72	moa_B	CL00011	cellline_BA	tissue_x	26
0.01	0.9021	0.8705	87.3333333333333	0.0251531310178276	0.0317708986338127	G00011	drug_011	72	moa_B	CL00011	cellline_BA	tissue_x	26
0.0316227766016838	0.550266666666667	0.493966666666667	49.5666666666667	0.00869329243344163	0.00763500709451754	G00011	drug_011	72	moa_B	CL00011	cellline_BA	tissue_x	26
0.1	0.469233333333333	0.426033333333333	42.7333333333333	0.0329585092704954	0.0264305378933788	G00011	drug_011	72	moa_B	CL00011	cellline_BA	tissue_x	26
0.316227766016838	0.4174	0.3855	38.7	0.0195376559494735	0.0147366889089782	G00011	drug_011	72	moa_B	CL00011	cellline_BA	tissue_x	26
1	0.430366666666667	0.3953	39.6666666666667	0.0138182246809542	0.0106240293674293	G00011	drug_011	72	moa_B	CL00011	cellline_BA	tissue_x	26
3.16227766016838	0.4731	0.429833333333333	43.1	0.0566002650170475	0.044758276702006	G00011	drug_011	72	moa_B	CL00011	cellline_BA	tissue_x	26
10	0.472633333333333	0.4287	43	0.0290086768628515	0.0232058182359511	G00011	drug_011	72	moa_B	CL00011	cellline_BA	tissue_x	26
0.001	1.00213333333333	1.00283333333333	99.8333333333333	0.0314595507490703	0.0375420209010294	G00011	drug_011	72	moa_B	CL00012	cellline_CA	tissue_x	30
0.00316227766016838	0.966033333333333	0.960133333333333	95.5666666666667	0.0382754925942611	0.0451505629348442	G00011	drug_011	72	moa_B	CL00012	cellline_CA	tissue_x	30
0.01	0.7246	0.700866666666667	69.7666666666667	0.0203302729937402	0.0198872656072506	G00011	drug_011	72	moa_B	CL00012	cellline_CA	tissue_x	30
0.0316227766016838	0.0233999999999999	0.201	20	0.0583752516054534	0.026925638339694	G00011	drug_011	72	moa_B	CL00012	cellline_CA	tissue_x	30
0.1	-0.313966666666667	0.0779666666666667	7.76666666666667	0.0840792681541254	0.0215861838529494	G00011	drug_011	72	moa_B	CL00012	cellline_CA	tissue_x	30
0.316227766016838	-0.339633333333333	0.0709333333333333	7.06666666666667	0.0724144552788553	0.0191808063785998	G00011	drug_011	72	moa_B	CL00012	cellline_CA	tissue_x	30
1	-0.365666666666667	0.0649333333333333	6.46666666666667	0.0889229629135992	0.0206039640199	G00011	drug_011	72	moa_B	CL00012	cellline_CA	tissue_x	30
3.16227766016838	-0.4441	0.0585333333333333	5.83333333333333	0.276255606277954	0.0456620557282886	G00011	drug_011	72	moa_B	CL00012	cellline_CA	tissue_x	30
10	-0.373	0.0644	6.4	0.122157234742769	0.0279790993421876	G00011	drug_011	72	moa_B	CL00012	cellline_CA	tissue_x	30
0.001	0.964566666666667	0.9629	96.9333333333333	0.0137128893138292	0.0142902064365775	G00011	drug_011	72	moa_B	CL00013	cellline_DA	tissue_x	34
0.00316227766016838	0.9282	0.925666666666667	93.2	0.0286438475069255	0.0291805300385948	G00011	drug_011	72	moa_B	CL00013	cellline_DA	tissue_x	34
0.01	0.583433333333333	0.609866666666667	61.4	0.00985714630779779	0.00805626050555302	G00011	drug_011	72	moa_B	CL00013	cellline_DA	tissue_x	34
0.0316227766016838	-0.106233333333333	0.181733333333333	18.3	0.0215319142979284	0.00929318746896529	G00011	drug_011	72	moa_B	CL00013	cellline_DA	tissue_x	34
0.1	-0.729066666666667	0.0155333333333333	1.56666666666667	0.0811379894582884	0.00986525890858083	G00011	drug_011	72	moa_B	CL00013	cellline_DA	tissue_x	34
0.316227766016838	-0.566833333333333	0.0426333333333333	4.3	0.145269622885631	0.0250643837612923	G00011	drug_011	72	moa_B	CL00013	cellline_DA	tissue_x	34
1	-0.636133333333333	0.0334666666666667	3.36666666666667	0.197882953619894	0.0365673807283668	G00011	drug_011	72	moa_B	CL00013	cellline_DA	tissue_x	34
3.16227766016838	-0.540533333333333	0.0451	4.53333333333333	0.0656148103200286	0.0139280292934787	G00011	drug_011	72	moa_B	CL00013	cellline_DA	tissue_x	34
10	-0.654666666666667	0.0301333333333333	3.03333333333333	0.190635787126482	0.0333672494121606	G00011	drug_011	72	moa_B	CL00013	cellline_DA	tissue_x	34
0.001	0.9562	0.958933333333333	95.4333333333333	0.0104216121593542	0.00968572833262081	G00011	drug_011	72	moa_B	CL00014	cellline_EA	tissue_x	38
0.00316227766016838	0.951233333333333	0.954366666666667	95	0.0212448425113799	0.019714546237064	G00011	drug_011	72	moa_B	CL00014	cellline_EA	tissue_x	38
0.01	0.5867	0.6455	64.2	0.0620619045792184	0.0478705546239022	G00011	drug_011	72	moa_B	CL00014	cellline_EA	tissue_x	38
0.0316227766016838	0.0491333333333333	0.2954	29.4333333333333	0.0764142874947698	0.0412232943855777	G00011	drug_011	72	moa_B	CL00014	cellline_EA	tissue_x	38
0.1	-0.100733333333333	0.220733333333333	21.9333333333333	0.0729596006933517	0.0341298012495434	G00011	drug_011	72	moa_B	CL00014	cellline_EA	tissue_x	38
0.316227766016838	-0.1146	0.214633333333333	21.3333333333333	0.0850997649820491	0.0386355190638528	G00011	drug_011	72	moa_B	CL00014	cellline_EA	tissue_x	38
1	-0.1224	0.210066666666667	20.9	0.0215404271081146	0.00972950838086557	G00011	drug_011	72	moa_B	CL00014	cellline_EA	tissue_x	38
3.16227766016838	-0.185366666666667	0.182466666666667	18.1666666666667	0.0269147419332479	0.0114308063290974	G00011	drug_011	72	moa_B	CL00014	cellline_EA	tissue_x	38
10	-0.180733333333333	0.185	18.4333333333333	0.0658270714321497	0.0282968196092776	G00011	drug_011	72	moa_B	CL00014	cellline_EA	tissue_x	38
0.001	1.0389	1.0336	103.533333333333	0.0125654287630786	0.010919249058429	G00011	drug_011	72	moa_B	CL00015	cellline_FA	tissue_x	42
0.00316227766016838	0.9643	0.9696	97.1333333333333	0.00801685723959209	0.00676387462923438	G00011	drug_011	72	moa_B	CL00015	cellline_FA	tissue_x	42
0.01	0.940066666666667	0.949266666666667	95.1	0.029329905102699	0.0245732239100475	G00011	drug_011	72	moa_B	CL00015	cellline_FA	tissue_x	42
0.0316227766016838	0.5907	0.6754	67.6666666666667	0.019374983870961	0.0141290480924937	G00011	drug_011	72	moa_B	CL00015	cellline_FA	tissue_x	42
0.1	0.458933333333333	0.582433333333333	58.3333333333333	0.0337261520682886	0.0231733323743766	G00011	drug_011	72	moa_B	CL00015	cellline_FA	tissue_x	42
0.316227766016838	0.442466666666667	0.571466666666667	57.2333333333333	0.0578191433119977	0.039562650736943	G00011	drug_011	72	moa_B	CL00015	cellline_FA	tissue_x	42
1	0.430566666666667	0.5636	56.4333333333333	0.0710251598613711	0.0483049686885314	G00011	drug_011	72	moa_B	CL00015	cellline_FA	tissue_x	42
3.16227766016838	0.4513	0.577566666666667	57.8333333333333	0.0652379490787379	0.0446582952354132	G00011	drug_011	72	moa_B	CL00015	cellline_FA	tissue_x	42
10	0.4259	0.559933333333333	56.1	0.0209501789968487	0.0141004728053117	G00011	drug_011	72	moa_B	CL00015	cellline_FA	tissue_x	42
0.001	0.947066666666667	0.9589	96.9333333333333	0.02060008090599	0.0159285906470095	G00011	drug_011	72	moa_B	CL00016	cellline_GB	tissue_y	46
0.00316227766016838	0.967533333333333	0.974733333333333	98.5333333333333	0.0222738261942876	0.0172778277955689	G00011	drug_011	72	moa_B	CL00016	cellline_GB	tissue_y	46
0.01	1.00343333333333	1.00276666666667	101.366666666667	0.0308222863093141	0.0241131361156804	G00011	drug_011	72	moa_B	CL00016	cellline_GB	tissue_y	46
0.0316227766016838	0.749166666666667	0.811	81.9666666666667	0.052771330600368	0.0384526982148198	G00011	drug_011	72	moa_B	CL00016	cellline_GB	tissue_y	46
0.1	0.397	0.5706	57.7	0.0609535068720414	0.038725702059485	G00011	drug_011	72	moa_B	CL00016	cellline_GB	tissue_y	46
0.316227766016838	0.369133333333333	0.552766666666667	55.8666666666667	0.0466418624556667	0.0292809380541904	G00011	drug_011	72	moa_B	CL00016	cellline_GB	tissue_y	46
1	0.3311	0.529133333333333	53.4666666666667	0.0673779637567061	0.0422339121244212	G00011	drug_011	72	moa_B	CL00016	cellline_GB	tissue_y	46
3.16227766016838	0.328466666666667	0.527233333333333	53.3	0.041881300521036	0.0261389237217857	G00011	drug_011	72	moa_B	CL00016	cellline_GB	tissue_y	46
10	0.369133333333333	0.5526	55.8666666666667	0.0139550468767873	0.008805112151472	G00011	drug_011	72	moa_B	CL00016	cellline_GB	tissue_y	46
0.001	1.0006	1.00053333333333	99.5	0.0476566889324049	0.0342666504539521	G00011	drug_011	72	moa_B	CL00017	cellline_HB	tissue_y	50
0.00316227766016838	0.9381	0.955766666666667	95.0333333333333	0.0264739494597992	0.0188186963770962	G00011	drug_011	72	moa_B	CL00017	cellline_HB	tissue_y	50
0.01	0.7803	0.8459	84.1	0.0557683602054068	0.0380574565624136	G00011	drug_011	72	moa_B	CL00017	cellline_HB	tissue_y	50
0.0316227766016838	0.213033333333333	0.4872	48.4333333333333	0.0815387229071766	0.0467983974084583	G00011	drug_011	72	moa_B	CL00017	cellline_HB	tissue_y	50
0.1	0.0291333333333333	0.384333333333333	38.2	0.0515567971593787	0.0278584517397025	G00011	drug_011	72	moa_B	CL00017	cellline_HB	tissue_y	50
0.316227766016838	0.0152	0.376833333333333	37.4666666666667	0.0476003151250073	0.0253152786540724	G00011	drug_011	72	moa_B	CL00017	cellline_HB	tissue_y	50
1	0.0263666666666666	0.382966666666667	38.0666666666667	0.0657134182137357	0.0349646011464929	G00011	drug_011	72	moa_B	CL00017	cellline_HB	tissue_y	50
3.16227766016838	0.0292333333333333	0.384266666666667	38.2	0.0335821877389388	0.0181045114083019	G00011	drug_011	72	moa_B	CL00017	cellline_HB	tissue_y	50
10	-0.0199	0.358533333333333	35.6666666666667	0.0776840395448125	0.0407370020170033	G00011	drug_011	72	moa_B	CL00017	cellline_HB	tissue_y	50
0.001	0.987066666666667	0.991466666666667	98.8	0.0371405887585715	0.0246662387350267	G00011	drug_011	72	moa_B	CL00018	cellline_IB	tissue_y	54
0.00316227766016838	0.867666666666667	0.912933333333333	90.9666666666667	0.0652006390561729	0.0425000392156682	G00011	drug_011	72	moa_B	CL00018	cellline_IB	tissue_y	54
0.01	0.3276	0.579166666666667	57.7	0.0491442773881151	0.0284960231143458	G00011	drug_011	72	moa_B	CL00018	cellline_IB	tissue_y	54
0.0316227766016838	-0.100933333333333	0.344533333333333	34.3333333333333	0.0506547464047875	0.0259763995452282	G00011	drug_011	72	moa_B	CL00018	cellline_IB	tissue_y	54
0.1	-0.1636	0.3129	31.1666666666667	0.0481940867742092	0.0241230180533034	G00011	drug_011	72	moa_B	CL00018	cellline_IB	tissue_y	54
0.316227766016838	-0.189566666666667	0.300033333333333	29.9	0.0511433605987457	0.0251865704956696	G00011	drug_011	72	moa_B	CL00018	cellline_IB	tissue_y	54
1	-0.1167	0.336466666666667	33.5333333333333	0.0428636209389734	0.0218470440410902	G00011	drug_011	72	moa_B	CL00018	cellline_IB	tissue_y	54
3.16227766016838	-0.0915666666666667	0.3493	34.8	0.0481100128178463	0.0245257008054816	G00011	drug_011	72	moa_B	CL00018	cellline_IB	tissue_y	54
10	-0.110566666666667	0.3395	33.8333333333333	0.0268717943824623	0.0136429468957407	G00011	drug_011	72	moa_B	CL00018	cellline_IB	tissue_y	54
0.001	1.04153333333333	1.02586666666667	102.166666666667	0.0260519353087892	0.0162512563616889	G00011	drug_011	72	moa_B	CL00019	cellline_JB	tissue_z	58
0.00316227766016838	1.00856666666667	1.00543333333333	100.133333333333	0.0721014794115442	0.0448719660069997	G00011	drug_011	72	moa_B	CL00019	cellline_JB	tissue_z	58
0.01	0.948766666666667	0.968366666666667	96.4333333333333	0.0510666557876403	0.0314493773123306	G00011	drug_011	72	moa_B	CL00019	cellline_JB	tissue_z	58
0.0316227766016838	0.614933333333333	0.766933333333333	76.4	0.0477918751811784	0.0282278821970996	G00011	drug_011	72	moa_B	CL00019	cellline_JB	tissue_z	58
0.1	-0.0884	0.377233333333333	37.5666666666667	0.063316427568207	0.0326279532507531	G00011	drug_011	72	moa_B	CL00019	cellline_JB	tissue_z	58
0.316227766016838	-0.291233333333333	0.276033333333333	27.5	0.0534057425127049	0.0256636578322992	G00011	drug_011	72	moa_B	CL00019	cellline_JB	tissue_z	58
1	-0.399433333333333	0.224666666666667	22.3666666666667	0.0317227573412737	0.014695690978424	G00011	drug_011	72	moa_B	CL00019	cellline_JB	tissue_z	58
3.16227766016838	-0.368833333333333	0.2391	23.8	0.0589381314034754	0.0275534026936783	G00011	drug_011	72	moa_B	CL00019	cellline_JB	tissue_z	58
10	-0.344533333333333	0.250833333333333	25	0.0901781200365883	0.0426715752384809	G00011	drug_011	72	moa_B	CL00019	cellline_JB	tissue_z	58
0.001	1.0155	1.00903333333333	100.333333333333	0.029318424241422	0.0170447450357386	G00011	drug_011	72	moa_B	CL00020	cellline_KB	tissue_z	62
0.00316227766016838	0.924033333333333	0.956066666666667	95.0666666666667	0.0529499134402818	0.0305478859061201	G00011	drug_011	72	moa_B	CL00020	cellline_KB	tissue_z	62
0.01	0.666566666666667	0.809266666666667	80.4666666666667	0.0874599527402875	0.04918682072805	G00011	drug_011	72	moa_B	CL00020	cellline_KB	tissue_z	62
0.0316227766016838	-0.1132	0.3889	38.6666666666667	0.0261862559370369	0.0133570206258731	G00011	drug_011	72	moa_B	CL00020	cellline_KB	tissue_z	62
0.1	-0.5528	0.175633333333333	17.4666666666667	0.025489605724687	0.0116663333285713	G00011	drug_011	72	moa_B	CL00020	cellline_KB	tissue_z	62
0.316227766016838	-0.667866666666667	0.124866666666667	12.4	0.0886940997661814	0.038618950443187	G00011	drug_011	72	moa_B	CL00020	cellline_KB	tissue_z	62
