"ModelID","CCLEName","TissueOrigin","DepmapModelType","OncotreeLineage","OncotreePrimaryDisease","OncotreeSubtype","OncotreeCode","PrimaryOrMetastasis","Age","AgeCategory","Sex","PatientRace"
"ACH-000001","NIHOVCAR3_OVARY",NA,"HGSOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC","Metastatic",60,"Adult","Female","caucasian"
"ACH-000002","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",36,"Adult","Female","caucasian"
"ACH-000003","CACO2_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Primary",72,"Adult","Male","caucasian"
"ACH-000004","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",30,"Adult","Male","caucasian"
"ACH-000005","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","",30,"Adult","Male","caucasian"
"ACH-000006","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AMOL","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","AMOL","Primary",64,"Adult","Male",""
"ACH-000007","LS513_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Primary",63,"Adult","Male","caucasian"
"ACH-000008","A101D_SKIN",NA,"MEL","Skin","Melanoma","Melanoma","MEL","Primary",56,"Adult","Male","caucasian"
"ACH-000009","C2BBE1_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Primary",72,"Adult","Male","caucasian"
"ACH-000011","253J_URINARY_TRACT",NA,"BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","Metastatic",53,"Adult","Male",""
"ACH-000012","HCC827_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",39,"Adult","Female","caucasian"
"ACH-000013","ONCODG1_OVARY",NA,"HGSOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC","Metastatic",60,"Adult","Female","caucasian"
"ACH-000014","HS294T_SKIN",NA,"MEL","Skin","Melanoma","Melanoma","MEL","Metastatic",56,"Adult","Male","caucasian"
"ACH-000015","NCIH1581_LUNG",NA,"LCLC","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","LCLC","Primary",44,"Adult","Male","caucasian"
"ACH-000016","SLR21_KIDNEY",NA,"CCRCC","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","CCRCC","Metastatic",NA,"Unknown","Unknown",""
"ACH-000017","SKBR3_BREAST",NA,"BRCA","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA","Metastatic",43,"Adult","Female","caucasian"
"ACH-000018","T24_URINARY_TRACT",NA,"BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","Primary",82,"Adult","Female","caucasian"
"ACH-000019","MCF7_BREAST",NA,"BRCA","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA","Metastatic",69,"Adult","Female","caucasian"
"ACH-000020","MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"BLLHYPO","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy","BLLHYPO","Primary",15,"Pediatric","Female","caucasian"
"ACH-000021","NCIH1693_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Metastatic",55,"Adult","Female","caucasian"
"ACH-000022","PATU8988S_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Metastatic",64,"Adult","Female",""
"ACH-000023","PATU8988T_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Metastatic",64,"Adult","Female",""
"ACH-000024","OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","Primary",56,"Adult","Female",""
"ACH-000025","CH157MN_CENTRAL_NERVOUS_SYSTEM",NA,"MNG","CNS/Brain","Meningothelial Tumor","Meningioma","MNG","Primary",41,"Adult","Female",""
