"Barcode"	"WellRow"	"WellColumn"	"ReadoutValue"	"BackgroundValue"
"plate_1"	"C"	3	100	0
"plate_1"	"D"	4	100	0
"plate_1"	"E"	5	100	0
"plate_1"	"F"	6	100	0
"plate_1"	"G"	7	100	0
"plate_1"	"H"	8	100	0
"plate_1"	"I"	9	100	0
"plate_1"	"J"	10	100	0
"plate_1"	"K"	11	100	0
"plate_2"	"C"	3	100	0
"plate_2"	"D"	4	100	0
"plate_2"	"E"	5	100	0
"plate_2"	"F"	6	100	0
"plate_2"	"G"	7	100	0
"plate_2"	"H"	8	100	0
"plate_2"	"I"	9	100	0
"plate_2"	"J"	10	100	0
"plate_2"	"K"	11	100	0
"plate_3"	"C"	3	100	0
"plate_3"	"D"	4	100	0
"plate_3"	"E"	5	100	0
"plate_3"	"F"	6	100	0
"plate_3"	"G"	7	100	0
"plate_3"	"H"	8	100	0
"plate_3"	"I"	9	100	0
"plate_3"	"J"	10	100	0
"plate_3"	"K"	11	100	0
"plate_1"	"C"	12	100	0
"plate_1"	"D"	13	100	0
"plate_1"	"E"	14	100	0
"plate_1"	"F"	15	100	0
"plate_1"	"G"	16	100	0
"plate_1"	"H"	17	100	0
"plate_1"	"I"	18	100	0
"plate_1"	"J"	19	100	0
"plate_1"	"K"	20	100	0
"plate_2"	"C"	12	100	0
"plate_2"	"D"	13	100	0
"plate_2"	"E"	14	100	0
"plate_2"	"F"	15	100	0
"plate_2"	"G"	16	100	0
"plate_2"	"H"	17	100	0
"plate_2"	"I"	18	100	0
"plate_2"	"J"	19	100	0
"plate_2"	"K"	20	100	0
"plate_3"	"C"	12	100	0
"plate_3"	"D"	13	100	0
"plate_3"	"E"	14	100	0
"plate_3"	"F"	15	100	0
"plate_3"	"G"	16	100	0
"plate_3"	"H"	17	100	0
"plate_3"	"I"	18	100	0
"plate_3"	"J"	19	100	0
"plate_3"	"K"	20	100	0
"plate_1"	"C"	21	97.7	0
"plate_1"	"D"	22	100	0
"plate_1"	"E"	23	100	0
"plate_1"	"F"	24	99.7	0
"plate_1"	"G"	25	100	0
"plate_1"	"H"	26	100	0
"plate_1"	"I"	27	100	0
"plate_1"	"J"	28	100	0
"plate_1"	"K"	29	99.3	0
"plate_2"	"C"	21	97.7	0
"plate_2"	"D"	22	100	0
"plate_2"	"E"	23	100	0
"plate_2"	"F"	24	99.7	0
"plate_2"	"G"	25	100	0
"plate_2"	"H"	26	100	0
"plate_2"	"I"	27	100	0
"plate_2"	"J"	28	100	0
"plate_2"	"K"	29	99.3	0
"plate_3"	"C"	21	97.7	0
"plate_3"	"D"	22	100	0
"plate_3"	"E"	23	100	0
"plate_3"	"F"	24	99.7	0
"plate_3"	"G"	25	100	0
"plate_3"	"H"	26	100	0
"plate_3"	"I"	27	100	0
"plate_3"	"J"	28	100	0
"plate_3"	"K"	29	99.3	0
"plate_1"	"C"	30	84.2	0
"plate_1"	"D"	31	99.7	0
"plate_1"	"E"	32	100	0
"plate_1"	"F"	33	96.1	0
"plate_1"	"G"	34	100	0
"plate_1"	"H"	35	100	0
"plate_1"	"I"	36	99.4	0
"plate_1"	"J"	37	99.8	0
"plate_1"	"K"	38	93.6	0
"plate_2"	"C"	30	84.2	0
"plate_2"	"D"	31	99.7	0
"plate_2"	"E"	32	100	0
"plate_2"	"F"	33	96.1	0
"plate_2"	"G"	34	100	0
"plate_2"	"H"	35	100	0
"plate_2"	"I"	36	99.4	0
"plate_2"	"J"	37	99.8	0
"plate_2"	"K"	38	93.6	0
"plate_3"	"C"	30	84.2	0
"plate_3"	"D"	31	99.7	0
"plate_3"	"E"	32	100	0
"plate_3"	"F"	33	96.1	0
"plate_3"	"G"	34	100	0
"plate_3"	"H"	35	100	0
"plate_3"	"I"	36	99.4	0
"plate_3"	"J"	37	99.8	0
"plate_3"	"K"	38	93.6	0
"plate_1"	"C"	39	67.3	0
"plate_1"	"D"	40	95.5	0
"plate_1"	"E"	41	99.5	0
"plate_1"	"F"	42	81.4	0
"plate_1"	"G"	43	99.5	0
"plate_1"	"H"	44	99.6	0
"plate_1"	"I"	45	91.5	0
"plate_1"	"J"	46	96.3	0
"plate_1"	"K"	47	73.2	0
"plate_2"	"C"	39	67.3	0
"plate_2"	"D"	40	95.5	0
"plate_2"	"E"	41	99.5	0
"plate_2"	"F"	42	81.4	0
"plate_2"	"G"	43	99.5	0
"plate_2"	"H"	44	99.6	0
"plate_2"	"I"	45	91.5	0
"plate_2"	"J"	46	96.3	0
"plate_2"	"K"	47	73.2	0
"plate_3"	"C"	39	67.3	0
"plate_3"	"D"	40	95.5	0
"plate_3"	"E"	41	99.5	0
"plate_3"	"F"	42	81.4	0
"plate_3"	"G"	43	99.5	0
"plate_3"	"H"	44	99.6	0
"plate_3"	"I"	45	91.5	0
"plate_3"	"J"	46	96.3	0
"plate_3"	"K"	47	73.2	0
"plate_1"	"C"	48	63.8	0
"plate_1"	"D"	49	84.2	0
"plate_1"	"E"	50	92.8	0
"plate_1"	"F"	51	75.3	0
"plate_1"	"G"	52	95.2	0
"plate_1"	"H"	53	93.6	0
"plate_1"	"I"	54	65.2	0
"plate_1"	"J"	55	74.4	0
"plate_1"	"K"	56	62.4	0
"plate_2"	"C"	48	63.8	0
"plate_2"	"D"	49	84.2	0
"plate_2"	"E"	50	92.8	0
"plate_2"	"F"	51	75.3	0
"plate_2"	"G"	52	95.2	0
"plate_2"	"H"	53	93.6	0
"plate_2"	"I"	54	65.2	0
"plate_2"	"J"	55	74.4	0
"plate_2"	"K"	56	62.4	0
"plate_3"	"C"	48	63.8	0
"plate_3"	"D"	49	84.2	0
"plate_3"	"E"	50	92.8	0
"plate_3"	"F"	51	75.3	0
"plate_3"	"G"	52	95.2	0
"plate_3"	"H"	53	93.6	0
"plate_3"	"I"	54	65.2	0
"plate_3"	"J"	55	74.4	0
"plate_3"	"K"	56	62.4	0
"plate_1"	"C"	57	63.5	0
"plate_1"	"D"	58	81.8	0
"plate_1"	"E"	59	84.1	0
"plate_1"	"F"	60	74.7	0
"plate_1"	"G"	61	92.7	0
"plate_1"	"H"	62	84.1	0
"plate_1"	"I"	63	58.4	0
"plate_1"	"J"	64	63.4	0
"plate_1"	"K"	65	61	0
"plate_2"	"C"	57	63.5	0
"plate_2"	"D"	58	81.8	0
"plate_2"	"E"	59	84.1	0
"plate_2"	"F"	60	74.7	0
"plate_2"	"G"	61	92.7	0
"plate_2"	"H"	62	84.1	0
"plate_2"	"I"	63	58.4	0
"plate_2"	"J"	64	63.4	0
"plate_2"	"K"	65	61	0
"plate_3"	"C"	57	63.5	0
"plate_3"	"D"	58	81.8	0
"plate_3"	"E"	59	84.1	0
"plate_3"	"F"	60	74.7	0
"plate_3"	"G"	61	92.7	0
"plate_3"	"H"	62	84.1	0
"plate_3"	"I"	63	58.4	0
"plate_3"	"J"	64	63.4	0
"plate_3"	"K"	65	61	0
"plate_1"	"C"	66	63.5	0
"plate_1"	"D"	67	81.6	0
"plate_1"	"E"	68	83.2	0
"plate_1"	"F"	69	74.7	0
"plate_1"	"G"	70	92.6	0
"plate_1"	"H"	71	83	0
"plate_1"	"I"	72	58	0
"plate_1"	"J"	73	62.6	0
"plate_1"	"K"	74	60.9	0
"plate_2"	"C"	66	63.5	0
"plate_2"	"D"	67	81.6	0
"plate_2"	"E"	68	83.2	0
"plate_2"	"F"	69	74.7	0
"plate_2"	"G"	70	92.6	0
"plate_2"	"H"	71	83	0
"plate_2"	"I"	72	58	0
"plate_2"	"J"	73	62.6	0
"plate_2"	"K"	74	60.9	0
"plate_3"	"C"	66	63.5	0
"plate_3"	"D"	67	81.6	0
"plate_3"	"E"	68	83.2	0
"plate_3"	"F"	69	74.7	0
"plate_3"	"G"	70	92.6	0
"plate_3"	"H"	71	83	0
"plate_3"	"I"	72	58	0
"plate_3"	"J"	73	62.6	0
"plate_3"	"K"	74	60.9	0
"plate_1"	"C"	75	63.5	0
"plate_1"	"D"	76	81.6	0
"plate_1"	"E"	77	83.1	0
"plate_1"	"F"	78	74.7	0
"plate_1"	"G"	79	92.5	0
"plate_1"	"H"	80	82.9	0
"plate_1"	"I"	81	58	0
"plate_1"	"J"	82	62.5	0
"plate_1"	"K"	83	60.9	0
"plate_2"	"C"	75	63.5	0
"plate_2"	"D"	76	81.6	0
"plate_2"	"E"	77	83.1	0
"plate_2"	"F"	78	74.7	0
"plate_2"	"G"	79	92.5	0
"plate_2"	"H"	80	82.9	0
"plate_2"	"I"	81	58	0
"plate_2"	"J"	82	62.5	0
"plate_2"	"K"	83	60.9	0
"plate_3"	"C"	75	63.5	0
"plate_3"	"D"	76	81.6	0
"plate_3"	"E"	77	83.1	0
"plate_3"	"F"	78	74.7	0
"plate_3"	"G"	79	92.5	0
"plate_3"	"H"	80	82.9	0
"plate_3"	"I"	81	58	0
"plate_3"	"J"	82	62.5	0
"plate_3"	"K"	83	60.9	0
"plate_1"	"C"	84	63.5	0
"plate_1"	"D"	85	81.6	0
"plate_1"	"E"	86	83.1	0
"plate_1"	"F"	87	74.7	0
"plate_1"	"G"	88	92.5	0
"plate_1"	"H"	89	82.9	0
"plate_1"	"I"	90	58	0
"plate_1"	"J"	91	62.5	0
"plate_1"	"K"	92	60.9	0
"plate_2"	"C"	84	63.5	0
"plate_2"	"D"	85	81.6	0
"plate_2"	"E"	86	83.1	0
"plate_2"	"F"	87	74.7	0
"plate_2"	"G"	88	92.5	0
"plate_2"	"H"	89	82.9	0
"plate_2"	"I"	90	58	0
"plate_2"	"J"	91	62.5	0
"plate_2"	"K"	92	60.9	0
"plate_3"	"C"	84	63.5	0
"plate_3"	"D"	85	81.6	0
"plate_3"	"E"	86	83.1	0
"plate_3"	"F"	87	74.7	0
"plate_3"	"G"	88	92.5	0
"plate_3"	"H"	89	82.9	0
"plate_3"	"I"	90	58	0
"plate_3"	"J"	91	62.5	0
"plate_3"	"K"	92	60.9	0
"plate_1"	"C"	93	63.5	0
"plate_1"	"D"	94	81.6	0
"plate_1"	"E"	95	83.1	0
"plate_1"	"F"	96	74.7	0
"plate_1"	"G"	97	92.5	0
"plate_1"	"H"	98	82.9	0
"plate_1"	"I"	99	58	0
