"V1","RHOA (387)","SYNE1 (23345)","PRSS57 (400668)","FOXP1 (27086)","KIF20B (9585)","OR6C1 (390321)","KLHDC7A (127707)","SORCS3 (22986)","RPS6KA4 (8986)","NEFM (4741)","MET (4233)","SMAD2 (4087)","ZNF732 (654254)","ASTN1 (460)","RASA1 (5921)","ACTR10 (55860)","CEBPA (1050)","BCL2L11 (10018)","TSC2 (7249)","PCDHA12 (56137)","SCAF4 (57466)","TGFBR2 (7048)","CSMD2 (114784)","MB21D2 (151963)","ATM (472)","RAF1 (5894)","USF3 (205717)","BCL2 (596)","FBXW7 (55294)","CLK3 (1198)","TRAT1 (50852)","ZC3H4 (23211)","UGT3A2 (167127)","SPTA1 (6708)","AR (367)","CUEDC2 (79004)","ASXL3 (80816)","SETD2 (29072)","KDM6A (7403)","ZBED2 (79413)","NDUFS1 (4719)","LBR (3930)","OR4M1 (441670)","POT1 (25913)","JAK2 (3717)","SMARCD1 (6602)","NWD1 (284434)","MUC16 (94025)","KCNQ5 (56479)","CHEK2 (11200)","PDCD6IP (10015)","ABCA1 (19)","BRCA2 (675)","TP53 (7157)","HEXD (284004)","FBXL4 (26235)","PRKAG1 (5571)","UPF2 (26019)","DNMT3A (1788)","DHX15 (1665)","ARID1B (57492)","DSC3 (1825)","MYOCD (93649)","H3-3A (3020)","ZIM3 (114026)","CNOT3 (4849)","EBF2 (64641)","CHI3L2 (1117)","KCNA4 (3739)","SYT13 (57586)","SPOCK3 (50859)","RICTOR (253260)","SPOP (8405)","ZNF7 (7553)","FAM83B (222584)","RXRA (6256)","MAP3K4 (4216)","PIM1 (5292)","ABCC9 (10060)","SH3RF2 (153769)","NQO1 (1728)","RNF152 (220441)","CIC (23152)","RALB (5899)","ACACB (32)","LOXHD1 (125336)","BCL6 (604)","OR8D1 (283159)","PPP1R3A (5506)","DMXL2 (23312)","OR2A5 (393046)","MYO7B (4648)","U2AF1 (7307)","SACS (26278)","DST (667)","PIK3CD (5293)","PBRM1 (55193)","DNAJA4 (55466)","CDK4 (1019)","AMOT (154796)","H3C2 (8358)","ZSCAN20 (7579)","CHD4 (1108)","CNOT9 (9125)","NPAP1 (23742)","OR1N2 (138882)","ZNF615 (284370)","IRF3 (3661)","OR4A15 (81328)","ATRX (546)","MLLT10 (8028)","FGFR1 (2260)","LYST (1130)","KMT2D (8085)","PDSS1 (23590)","CARD11 (84433)","ERCC3 (2071)","GPR107 (57720)","FMN2 (56776)","FLACC1 (130540)","RAD50 (10111)","NFATC2 (4773)","TGFB1 (7040)","NLRP4 (147945)","ZHX3 (23051)","SRCIN1 (80725)","SF3B1 (23451)","PTP4A3 (11156)","HFM1 (164045)","ACVR1B (91)","ZNF180 (7733)","MLH1 (4292)","DENND4C (55667)","HCRTR2 (3062)","RTKN2 (219790)","DICER1 (23405)","EPHB1 (2047)","DCAF12L2 (340578)","ZDBF2 (57683)","IDH1 (3417)","CNTNAP2 (26047)","ALK (238)","ZNF534 (147658)","SOX30 (11063)","FGFR3 (2261)","SLCO6A1 (133482)","NFE2L2 (4780)","ZNF140 (7699)","FAM174C (55009)","MYCN (4613)"
"ACH-000628",0.6777,0.7096,0.9642,0.7324,0.7318,0.6716,0.9999,0.7341,1.0787,0.7315,0.7898,0.5651,0.9475,1.4359,1.1581,1.3031,0.9623,1.06,1.213,1.1437,1.2341,0.7268,0.9999,1.4972,1.198,0.7268,1.4972,0.5651,0.9884,1.273,1.4972,0.9623,3.0605,1.1153,0.7733,0.7341,0.9468,0.6777,0.7331,1.4972,1.06,1.4094,1.3031,0.7898,1.1034,0.6716,0.9642,0.9642,0.7233,0.6896,0.7268,1.0598,0.699,0.9942,1.2082,0.739,0.6716,0.7319,1.0431,1.0092,0.7096,0.9468,0.9942,1.4094,1.2689,1.4613,0.7315,0.7002,1.1088,1.1088,0.9884,2.0387,0.6981,1.214,1.4925,0.9797,0.7096,1.364,0.7283,1.1713,0.9812,0.5651,0.9623,1.06,0.718,0.5651,1.4972,1.1738,0.7687,1.273,0.7336,1.06,1.2341,0.699,1.4925,1.0028,0.6777,1.273,0.718,0.7733,1.364,0.9999,0.701,0.9446,1.273,1.0598,0.9623,0.9623,1.4521,0.7733,0.7319,0.7315,1.4094,0.6716,0.7319,2.5346,1.06,0.9797,1.4094,1.06,1.1437,1.9382,0.9623,1.2689,1.8823,0.6981,1.06,1.3387,1.0844,0.6716,0.9623,0.6777,1.1034,1.4925,0.7318,1.3031,1.4972,0.7733,1.06,1.06,0.7336,1.0431,1.4613,1.1713,0.9475,1.1581,1.06,0.718,0.9642,1.0431
"ACH-000974",1.036,1.0289,1.023,1.0431,1.0306,1.0419,1.0216,1.0306,1.0328,0.7993,0.9507,1.0568,1.0653,1.1739,1.029,1.1173,0.9986,1.0206,1.0334,1.0412,1.1647,1.036,1.0216,1.0216,1.0536,1.036,1.0216,0.9133,1.0283,1,1.0216,0.9986,1.0665,1.0213,1.07,1.0306,1.0568,1.036,1.0659,1.0216,1.0225,1.1632,1.1173,0.9507,1.0394,1.0419,1.023,1.023,1.0289,0.9109,1.036,1.0545,1.0236,0.9819,0.9892,1.0289,1.0419,1.0528,1.0168,1.0894,1.0289,1.0568,0.9819,1.1632,0.9986,0.9986,0.7993,1.0216,1.0487,1.0487,1.0283,1.0665,0.9892,1.2895,1.0698,1.019,1.0572,0.9936,1.0415,1.0412,1.0437,0.9133,0.9986,1.0225,1.0419,1.0568,1.0216,1.0536,0.9507,1,0.9507,1.0225,1.1647,1.0236,1.0698,1.0245,1.036,1,1.0419,1.07,0.9936,1.0216,1.0415,1.0225,1.0689,1.019,0.9986,0.9986,1.3217,1.07,1.036,0.7993,1.1632,1.0419,1.036,0.9754,1.0225,1.019,1.1632,1.0225,1.0412,1.0563,0.9986,0.9986,1.0438,0.9892,1.0225,1.2895,1.0216,1.0419,0.9986,1.036,1.0394,1.0698,1.0306,1.1173,1.0216,1.07,1.0225,1.0225,0.9507,1.0168,0.9986,1.0412,1.0653,1.029,1.0225,1.0419,1.023,1.0168
"ACH-003071",0.7214,1.1179,0.7527,0.8315,0.7671,1.1203,0.7459,0.7621,1.1328,1.1565,1.2102,1.4057,0.3847,0.8818,1.1768,1.2082,1.4342,0.7642,0.7399,1.0904,0.8288,0.7759,0.7459,0.749,0.793,0.7759,0.7796,1.4057,0.8001,0.7387,0.7796,1.593,2.4378,1.0921,0.7633,0.7621,1.4476,0.7214,0.7589,0.7796,1.2397,0.7889,1.1112,1.1421,1.2056,1.1203,0.7643,0.7527,1.1437,0.7434,0.7759,1.305,2.1816,1.4423,1.1742,1.1625,1.1203,0.8055,1.0868,0.7883,1.1179,1.2354,1.3636,0.7889,1.4492,1.3591,1.1565,1.0947,1.1858,1.0696,0.8001,2.4378,1.0478,1.0775,1.5264,1.1592,1.1179,1.4567,0.7792,1.2034,0.7838,1.4057,1.4711,0.8232,1.1905,1.4057,0.6528,0.7914,1.2102,0.7387,1.1774,0.8232,0.894,2.1816,1.5264,0.7526,0.7214,0.7387,1.1203,0.7988,1.6004,0.7459,0.7792,1.2109,0.6934,1.2292,1.3591,1.593,1.3433,0.7633,0.8046,1.1732,0.7798,1.1203,0.7944,1.1651,0.8232,1.2292,0.7798,1.3834,1.0904,0.7849,1.4711,1.3841,1.0992,1.0835,1.5589,1.4506,0.7665,1.1203,1.4711,0.7759,1.2652,1.5264,0.7651,1.5045,0.7587,0.8352,1.2397,1.2397,1.1774,0.6995,1.3591,1.0939,0.3847,1.1768,1.212,1.1905,0.7527,1.1775
"ACH-001338",0.4954,0.5173,1.4536,1.0098,0.5029,0.9984,1.4635,0.5088,0.9966,1.005,1.6112,0.9929,0.7184,0.976,0.9946,1.0076,0.9242,0.9353,0.9543,1.0199,0.9638,1.0175,1.4635,1.24,0.9966,1.0047,1.0098,0.9929,1.0158,0.9889,1.0098,0.4751,0.9946,0.976,0.4646,1.0085,0.978,0.4906,0.4646,1.0098,1.0424,0.9998,0.9282,1.5647,0.9562,0.9984,0.9242,0.9242,1.0081,0.9962,1.0175,0.996,0.9533,0.9359,1.8902,1.0081,0.9984,0.9677,0.9998,0.9466,0.5173,0.978,0.9603,0.9998,0.9746,0.4566,1.005,1.0004,0.9966,0.9966,1.0158,0.9946,2.0555,0.9979,1.0081,0.996,0.5064,1.5173,0.9984,1.0199,0.9841,0.9929,0.9242,0.998,0.9984,0.9929,1.24,0.9966,1.4887,0.9889,1.451,0.998,0.9638,0.9533,1.0081,0.4814,0.4954,0.9889,0.9984,0.5001,0.9562,1.4635,0.9723,1.0102,0.841,0.996,0.4163,0.4751,0.9966,0.4646,0.9737,1.005,0.9998,0.9984,0.9737,1.0215,0.998,0.996,0.9998,1.0424,1.0185,1.4925,0.9242,0.4566,1.4306,1.9572,1.0424,0.9979,0.4978,0.9984,0.9242,1.0175,0.996,1.0081,0.9962,0.9918,1.0065,0.5001,1.0424,1.0424,1.6074,0.9998,0.4163,1.0199,1.0188,0.9889,1.0424,0.9984,1.4536,132.3426
"ACH-001608",1.0057,1.0879,0.9996,1.0408,1.3582,0.7906,1.2583,1.0427,1.2573,0.7482,1.2683,0.9321,0.7831,1.2899,0.8098,1.1192,0.8119,1.1472,0.7641,1.1728,0.9236,1.2189,2.1824,0.9587,1.3272,1.1096,0.7674,0.9321,0.7899,0.8343,0.7674,0.7927,2.8549,0.8347,0.4726,1.0427,0.9321,1.0057,0.9103,0.7674,1.3921,1.4367,0.8777,1.2683,1.5663,0.7906,0.8039,0.9996,1.1826,0.7704,1.173,0.9151,0.7519,0.8138,0.4137,1.1826,0.7906,0.4563,1.1048,0.8782,1.2647,0.9321,0.8813,1.4367,0.7664,0.7664,0.7482,1.5181,0.9079,1.2533,0.7899,2.0103,1.2385,0.9119,1.3178,0.4157,1.371,1.5655,0.8631,1.2517,0.8016,0.9321,0.7927,1.1472,0.8295,0.9321,1.1431,1.339,1.2683,0.8848,1.2683,1.1472,0.4248,0.7205,0.8965,0.6556,1.0993,0.8657,0.7906,0.4892,1.1415,2.3499,0.8631,1.3921,0.8709,0.9121,0.7664,0.7664,1.4456,0.4726,0.4563,0.7482,1.2478,0.7906,0.4563,1.1084,1.1472,0.8165,0.8463,1.3974,1.1728,1.535,0.7927,0.7664,1.535,1.0883,1.4528,0.9119,1.5851,0.7906,0.7927,1.2104,0.4789,1.3178,1.3983,0.8981,1.2036,0.4802,1.3921,1.3921,1.2683,1.1048,0.7664,1.2198,0.7831,0.7963,1.4241,1.038,0.9996,0.883
"ACH-000278",0.9921,0.6022,0.585,1.0736,1.7254,1.1401,1.1324,1.1229,1.6561,0.6119,1.0731,0.6143,1.0149,1.0806,0.6005,0.6114,1.0304,1.2393,0.9625,1.1918,0.6178,1.0546,1.114,1.0327,1.1049,1.0546,1.0269,0.6143,0.9557,1.1144,1.0456,0.5706,1.2084,1.6067,1.1185,1.1229,1.1073,0.9921,1.1709,1.0269,1.1485,1.0806,0.6219,1.0731,0.618,1.1401,1.1382,0.6091,1.2063,0.5767,1.0546,1.1993,0.5852,0.5727,1.1038,0.6308,1.1401,1.0275,0.6002,1.0743,1.1374,1.1073,0.5727,1.0806,1.1492,0.5706,0.6119,1.2003,1.8976,1.1897,2.2299,1.2084,1.0977,1.9297,1.2306,1.0885,1.1374,1.0973,1.1544,1.1918,0.6558,0.6143,0.5706,1.2393,1.088,0.6143,1.0327,0.6047,1.0731,1.1447,1.5299,1.2393,0.557,0.5852,1.2306,1.1401,0.9921,1.1144,1.1401,0.637,1.0973,1.114,1.1544,1.1485,1.1447,1.1993,0.5706,0.5706,1.4212,1.1185,1.0294,0.6119,1.0806,1.1401,1.0294,1.153,1.2393,1.1993,1.0806,1.1485,0.6114,1.2866,0.5706,1.1492,0.6731,0.6138,1.7194,1.9297,1.2003,1.1401,0.5706,1.0546,0.618,1.2306,1.1747,1.1444,1.0269,0.637,1.1485,1.1485,1.6195,1.1738,0.5706,1.7655,1.0149,0.6142,1.6958,0.6192,0.585,1.2165
"ACH-001350",0.9557,0.6613,0.6995,1.0477,1.0143,1.0099,1.0811,1.1045,1.1797,0.6961,0.7649,1.3604,1.0002,0.9466,1.3452,0.934,0.8743,0.7021,1.1816,1.3523,1.0588,1.0169,1.0114,1.6456,1.1714,1.0169,1.3152,1.3604,0.9982,0.9095,1.3152,0.8235,1.0878,0.9466,1.0439,0.9517,1.3604,0.9557,0.6901,1.3152,0.6808,0.9466,0.9468,0.7649,1.6465,1.0099,2.4864,0.6995,0.7086,0.9849,1.0169,1.3281,0.7009,0.6451,1.2378,0.6994,1.0099,0.6966,0.9659,1.0287,0.6659,1.3604,0.6451,0.9466,0.8144,0.8235,0.6961,1.2595,1.3716,1.3716,0.9982,1.0878,0.9629,1.8125,1.064,1.1913,0.6949,0.9454,1.7384,1.3523,1.3275,1.3604,0.8235,0.7021,1.015,1.3604,1.6456,0.9345,0.7649,0.9602,0.769,0.7021,0.9585,0.7009,1.064,1.3766,0.9557,0.9623,1.0099,1.4147,0.9779,1.0114,1.3525,0.6808,1.0251,1.1913,0.8235,0.8235,1.2421,1.0439,0.6849,0.6961,0.9466,1.0099,0.6864,0.7304,0.7021,1.1913,0.9466,0.6808,1.3523,1.8329,0.8235,0.8144,1.8329,0.9629,0.6808,1.8125,1.6227,1.0099,0.8235,0.9557,1.3279,1.064,1.0617,0.934,1.335,1.4147,0.6808,0.6808,0.769,0.9659,0.8235,1.3564,1.0002,1.3452,0.6808,1.0224,0.6995,1.0659
"ACH-000150",0.4008,0.845,0.8976,0.453,0.8969,0.7295,0.63,0.8969,0.9711,0.4737,1.983,0.912,0.6481,1.1925,1.025,1.9291,1.0108,1.1669,1.2724,0.9528,0.6667,0.4584,0.63,1.1879,0.9329,0.4584,1.2085,0.912,0.7591,1.1421,1.2085,1.0108,1.7433,1.1925,0.6963,0.8969,0.912,0.4008,0.57,1.2085,1.2175,1.1912,1.9291,2.0275,0.723,0.7295,0.8976,0.8976,0.9052,1.0824,0.4584,1.432,0.7181,1.0356,1.2149,0.9232,0.7295,0.8842,1.4253,0.74,0.845,0.912,1.0356,1.1912,1.0108,1.0108,0.4737,0.7195,0.9711,0.9711,0.7591,1.7433,1.2732,1.0222,1.8532,1.2442,0.845,1.4872,1.0109,0.9528,1.3231,0.912,1.0108,1.1669,0.6329,0.912,1.1879,0.8593,1.9578,1.2078,1.8604,1.1669,0.6667,0.7181,1.8532,0.63,0.453,1.1421,0.7295,0.7003,1.5639,0.63,1.0109,1.2175,1.113,1.3729,1.0108,1.0108,0.9711,0.6963,0.8842,0.4737,1.1507,0.7295,0.8842,2.2547,1.1669,1.2442,1.1507,1.2175,0.9528,1.3806,1.0108,1.0108,0.696,1.2732,1.2175,0.4926,0.7195,0.7295,1.0108,0.4584,0.7016,1.8532,0.9501,1.772,1.1879,0.7003,1.2175,1.2175,1.8518,1.4961,1.0108,0.9528,0.6481,1.025,1.178,0.6329,0.8976,1.5773
"ACH-001132",1.0011,1.0216,0.7481,1.0696,0.9976,1.2959,0.9749,1.0954,0.9925,1.0325,1.0909,1.0737,1.0473,1.0369,0.5338,1.022,0.963,1.0492,1.0122,1.0518,0.9989,1.0662,0.9749,1.0436,1.0781,1.0662,1.0705,1.0737,1.0724,0.7295,1.0705,2.0089,1.0663,1.0369,1.0701,0.9976,1.0737,1.0011,0.9809,1.0705,1.0492,1.9879,1.0784,1.0909,0.811,1.2959,0.9808,1.2147,1.0739,0.9883,1.0662,0.7652,1.0382,0.4823,1.2179,1.0739,1.2959,1.0061,1.0081,1.0731,1.0216,1.0737,4.7476,1.9879,1.3845,1.4222,1.0325,1.0506,1.0563,1.0563,1.0724,1.0663,1.2179,1.0457,1.0842,0.7282,1.0216,0.9894,1.3561,1.0518,0.7756,1.0737,0.963,1.0492,1.2959,1.0737,1.0436,1.0091,1.0909,1.0562,1.5097,1.0492,0.9989,1.0382,1.0842,8.3848,1.0011,0.7295,1.2959,1.0701,0.9894,0.9749,2.1042,1.0492,0.9729,0.7282,1.4222,1.4222,1.2386,1.0701,1.0061,1.0325,1.8623,1.2959,1.0061,1.0604,1.0492,0.7282,2.084,1.0492,1.0518,0.7732,0.963,1.3845,0.7732,1.2179,1.0492,1.0457,1.0506,1.2959,0.963,1.0662,0.811,1.0842,1.0538,1.022,1.0436,1.0701,1.0492,1.0492,1.5854,1.0081,1.4222,1.0518,1.0473,0.5338,1.0492,1.2504,0.7481,1.1172
"ACH-000324",0.696,1.0765,0.6442,0.7584,1.0107,1.0118,1.0541,0.8861,1.0643,1.2992,4.4088,1.1803,0.8685,1.4323,0.7422,1.0647,1.3546,1.634,0.9722,1.047,0.7301,0.7609,1.336,1.0568,1.2324,2.045,1.1181,1.1641,0.9112,0.7976,1.1181,1.1008,1.1186,1.025,0.816,1.0107,1.1705,0.696,0.7625,1.1181,1.0628,1.4615,1.1151,0.759,0.7546,1.0118,0.6666,0.6666,0.7638,0.9932,0.7609,1.1272,0.723,0.9187,1.2521,1.1419,1.0118,0.8517,1.0047,0.9175,1.0765,1.1705,0.9187,1.3302,1.0183,0.9896,1.2992,1.3743,0.8249,0.7556,0.9112,1.1186,1.2076,1.2044,1.1479,1.0132,1.0765,0.9878,1.42,1.1337,1.087,1.1641,0.9835,1.7828,1.0252,1.1803,1.0568,1.1992,1.0866,0.7057,0.7182,1.7629,0.6718,0.723,0.8022,0.7238,0.696,0.7976,1.1223,0.816,1.0515,1.336,1.3617,1.0628,0.7442,1.0647,0.9896,1.1008,1.4808,0.816,1.0114,1.347,1.3302,1.0118,0.8556,1.0108,1.7629,1.0647,1.4459,1.0628,1.0286,1.3861,0.9835,1.0183,1.4308,1.2297,1.0628,1.2044,1.498,1.0118,1.1008,0.696,0.7546,1.1479,0.8979,0.6791,1.0994,0.816,1.0628,1.0628,0.7182,1.0047,0.9896,1.1177,0.8685,0.7246,1.0628,0.987,0.6442,1.127
